[04-Jul-2022 23:54:11 UTC] PHP Parse error:  syntax error, unexpected ';' in C:\Users\larry\Desktop\Examen Multimedia\app\public\wp-content\themes\laminiguia\laminiguia\functions.php on line 62
[04-Jul-2022 23:54:11 UTC] PHP Parse error:  syntax error, unexpected ';' in C:\Users\larry\Desktop\Examen Multimedia\app\public\wp-content\themes\laminiguia\laminiguia\functions.php on line 62
[04-Jul-2022 23:54:13 UTC] PHP Parse error:  syntax error, unexpected ';' in C:\Users\larry\Desktop\Examen Multimedia\app\public\wp-content\themes\laminiguia\laminiguia\functions.php on line 62
[04-Jul-2022 23:54:13 UTC] PHP Parse error:  syntax error, unexpected ';' in C:\Users\larry\Desktop\Examen Multimedia\app\public\wp-content\themes\laminiguia\laminiguia\functions.php on line 62
[06-Jul-2022 04:10:04 UTC] PHP Parse error:  syntax error, unexpected '{', expecting '(' in C:\Users\larry\Desktop\Examen Multimedia\app\public\wp-content\themes\laminiguia\laminiguia\sidebar.php on line 20
[06-Jul-2022 04:11:04 UTC] PHP Parse error:  syntax error, unexpected '{', expecting '(' in C:\Users\larry\Desktop\Examen Multimedia\app\public\wp-content\themes\laminiguia\laminiguia\sidebar.php on line 20
[06-Jul-2022 04:11:04 UTC] PHP Parse error:  syntax error, unexpected '{', expecting '(' in C:\Users\larry\Desktop\Examen Multimedia\app\public\wp-content\themes\laminiguia\laminiguia\sidebar.php on line 20
[06-Jul-2022 04:25:03 UTC] PHP Parse error:  syntax error, unexpected '[', expecting '(' in C:\Users\larry\Desktop\Examen Multimedia\app\public\wp-content\themes\laminiguia\laminiguia\sidebar.php on line 20
[06-Jul-2022 04:29:11 UTC] PHP Warning:  Invalid argument supplied for foreach() in C:\Users\larry\Desktop\Examen Multimedia\app\public\wp-includes\script-loader.php on line 2781
[06-Jul-2022 04:29:11 UTC] PHP Stack trace:
[06-Jul-2022 04:29:11 UTC] PHP   1. {main}() C:\Users\larry\Desktop\Examen Multimedia\app\public\index.php:0
[06-Jul-2022 04:29:11 UTC] PHP   2. require() C:\Users\larry\Desktop\Examen Multimedia\app\public\index.php:17
[06-Jul-2022 04:29:11 UTC] PHP   3. require_once() C:\Users\larry\Desktop\Examen Multimedia\app\public\wp-blog-header.php:19
[06-Jul-2022 04:29:11 UTC] PHP   4. include() C:\Users\larry\Desktop\Examen Multimedia\app\public\wp-includes\template-loader.php:106
[06-Jul-2022 04:29:11 UTC] PHP   5. get_footer() C:\Users\larry\Desktop\Examen Multimedia\app\public\wp-content\themes\laminiguia\laminiguia\home.php:30
[06-Jul-2022 04:29:11 UTC] PHP   6. locate_template() C:\Users\larry\Desktop\Examen Multimedia\app\public\wp-includes\general-template.php:92
[06-Jul-2022 04:29:11 UTC] PHP   7. load_template() C:\Users\larry\Desktop\Examen Multimedia\app\public\wp-includes\template.php:716
[06-Jul-2022 04:29:11 UTC] PHP   8. require_once() C:\Users\larry\Desktop\Examen Multimedia\app\public\wp-includes\template.php:770
[06-Jul-2022 04:29:11 UTC] PHP   9. wp_footer() C:\Users\larry\Desktop\Examen Multimedia\app\public\wp-content\themes\laminiguia\laminiguia\footer.php:31
[06-Jul-2022 04:29:11 UTC] PHP  10. do_action() C:\Users\larry\Desktop\Examen Multimedia\app\public\wp-includes\general-template.php:3058
[06-Jul-2022 04:29:11 UTC] PHP  11. WP_Hook->do_action() C:\Users\larry\Desktop\Examen Multimedia\app\public\wp-includes\plugin.php:476
[06-Jul-2022 04:29:11 UTC] PHP  12. WP_Hook->apply_filters() C:\Users\larry\Desktop\Examen Multimedia\app\public\wp-includes\class-wp-hook.php:331
[06-Jul-2022 04:29:11 UTC] PHP  13. wp_maybe_inline_styles() C:\Users\larry\Desktop\Examen Multimedia\app\public\wp-includes\class-wp-hook.php:307
[06-Jul-2022 04:29:32 UTC] PHP Warning:  Invalid argument supplied for foreach() in C:\Users\larry\Desktop\Examen Multimedia\app\public\wp-includes\script-loader.php on line 2781
[06-Jul-2022 04:29:32 UTC] PHP Stack trace:
[06-Jul-2022 04:29:32 UTC] PHP   1. {main}() C:\Users\larry\Desktop\Examen Multimedia\app\public\index.php:0
